시설물명칭,구간_시작지점,구간_경유지점,구간_종착지점,탐방로길이,소요시간_상행,소요시간_하행
14. 청학동~삼신봉~갈림길                                                            ,청학동,,갈림길,7700,300,240
8. 새재~삼거리                                                                      ,새재,,삼거리,3000,180,120
12. 의신~벽소령                                                                     ,의신(하동),,벽소령,6800,180,150
13. 음정~벽소령                                                                     ,음정(함양),,벽소령,5000,180,150
가내소~장터목                                                                       ,가내소,,장터목(한신지계곡),4.2,180,120
16. 범왕교~토끼봉                                                                   ,범왕교,,토끼봉,4900,180,120
탐방로                                                                              ,뱀사골정상,,연하천,6,120,0
1.화엄사~무넹기                                                                     ,화엄사,중재,무넹기,7000,230,150
탐방로                                                                              ,성삼재,노고단고개,노고단정상,5.4,90,70
2.직전마을~피아골삼거리                                                             ,직전마을,피아골대피소,피아골삼거리,6000,210,150
노고단고개~삼도봉                                                                   ,노고단고개,임걸령,삼도봉,5.5,180,150
3.만복대~성삼재                                                                     ,만복대,당동고개,성삼재,5300,240,180
금산입구~정상                                                                       ,금산입구,보리암,정상,2200,90,60
탐방로                                                                              ,두모계곡,,금산정상,2.8,110,60
속리-탐방로(세심정~문장대)                                                          ,세심정,보현재,문장대,3300,90,60
속리-탐방로(법주사~세심정~신선대)                                                   ,법주사,세심정,신선대,5600,100,85
속리-탐방로(세심정~도화리)                                                          ,세심정,천왕봉,도화리,8500,210,150
탐방로                                                                              ,천황봉,묘봉,민판동,7,120,90
화북-탐방로(오송~문장대~묘봉)                                                       ,오송,문장대,묘봉,7000,90,60
화북-탐방로(장각동~천왕봉~문장대)                                                   ,장각동,천왕봉,문장대,6500,180,160
화양-탐방로(학소대~첨성대)                                                          ,학소대,도명산,첨성대,6000,90,60
화양-탐방로(사담리~낙영산~도명산)                                                   ,사담리,낙영산,도명산,6500,90,60
탐방로                                                                              ,떡바위,,쌍곡폭포,8,180,150
쌍곡-탐방로(소금강~군자산~도마골)                                                   ,소금강,군자산,도마골,6500,120,90
쌍곡-탐방로(절말~장성봉~제수리재)                                                   ,쌍곡폭포,장성봉,제수리재,12000,150,120
탐방로                                                                              ,장성봉,,상고암,1.2,60,40
탐방로                                                                              ,매표소,,세심정,4.9,60,60
속리-탐방로(천왕봉~형제봉)                                                          ,천왕봉,,형제봉,7100,90,60
화북-탐방로(용화~북가치~민판동)                                                     ,용화지구,북가치,민판동,7000,90,60
화양-탐방로(선유동~제비소)                                                          ,선유동,,제비소,1800,60,60
탐방로                                                                              ,북가치,묘봉,민판동,7,0,0
구암사입구~백양계곡                                                                 ,구암사,무덤갈림길,백양계곡,1400,90,0
백양사~남경산기도원                                                                 ,백양사,능선사거리-몽계폭포,남경산기도원,6200,180,0
전대수련원~은선골삼거리                                                             ,전대수련원,갓바위,은선골삼거리,8300,210,0
약사암입구~가인마을                                                                 ,백양사비자림,백학봉-상왕봉-사자봉-청류암,가인마을,7500,245,0
탐방로                                                                              ,입암계곡코스,,입암산성코스,1.5,120,90
운문암갈림길~옹달샘갈림길                                                           ,운문암갈림길,,옹달샘갈림길,600,25,20
1.반선~화개재                                                                       ,반선,,화개재,9200,300,240
2.쟁기소~삼도봉삼거리                                                               ,쟁기소,반야봉,삼도봉삼거리,8500,240,150
4.만복대~운봉아래                                                                   ,만복대,정령치,운봉아래,13700,220,230
3.고기리~고리봉                                                                     ,고기리,,고리봉,3200,80,60
닭이봉                                                                              ,기타(격포닭이봉),,닭이봉,0.8,20,0
탐방로                                                                              ,상서,,매봉산,2,120,0
탐방로                                                                              ,임포,,임포,1.2,80,0
탐방로                                                                              ,연도,,소리도등대,1.5,0,0
탐방로                                                                              ,변촌,,거문도등대,5,150,0
탐방로                                                                              ,거문리,,뒷산,0.7,50,0
탐방로                                                                              ,보옥리,예송리,하한대,4.5,240,0
허득상가~상왕봉                                                                     ,허득상가,해인사,상왕봉,5300,150,110
탐방로                                                                              ,해인사,,마애불입상,0,0,0
치인~남산제일봉                                                                     ,치인리,,남산제일봉,2600,60,40
백운동~상왕봉                                                                       ,백운동시설지,서성재,상왕봉,4300,120,90
5.구룡삼곡~구룡폭포                                                                 ,육모정,,구룡폭포,3100,120,90
